Tax Year,Municipality,Number of Returns,CT Income Tax,Tax Per Capita
2016,NEW LONDON ,11247,14707239.00,1308.00
2016,NEWINGTON ,15349,42989401.00,2801.00
2016,NEW HAVEN,49107,89388902.00,1820.00
2016,NEW HARTFORD,3315,14119121.00,4259.00
2016,NEW FAIRFIELD,6128,20358833.00,3322.00
2016,NEW CANAAN,8225,165509512.00,20123.00
2016,NEW BRITAIN,31360,38363772.00,1223.00
2016,NAUGATUCK,14358,29742923.00,2072.00
2016,MORRIS,1078,4592874.00,4261.00
2016,MONTVILLE,8321,18835422.00,2264.00
2016,MONROE,8746,42397763.00,4848.00
2016,MILFORD,25909,110670397.00,4272.00
2016,MIDDLETOWN,20824,55835515.00,2681.00
2016,MIDDLEFIELD,2024,8112628.00,4008.00
2016,MIDDLEBURY,3425,24533755.00,7163.00
2016,MERIDEN,27258,50027323.00,1835.00
2016,MARLBOROUGH,2865,15183666.00,5300.00
2016,MANSFIELD,5379,19822706.00,3685.00
2016,MANCHESTER,28487,68555730.00,2407.00
2016,MADISON,8080,61038179.00,7554.00
2016,LYME,962,7449806.00,7744.00
2016,LITCHFIELD,3861,17730789.00,4592.00
2016,LISBON,1702,4481531.00,2633.00
2016,LEDYARD,6676,19153173.00,2869.00
2016,LEBANON,3289,10032193.00,3050.00
2016,KILLINGWORTH,2872,14444703.00,5029.00
2016,KILLINGLY,7753,12436306.00,1604.00
2016,KENT,1306,4364093.00,3342.00
2016,HEBRON,4287,19562411.00,4563.00
2016,HARWINTON,2559,9867776.00,3856.00
2016,HARTLAND,839,2810461.00,3350.00
2016,HARTFORD,49075,51242224.00,1044.00
2016,HAMPTON,1107,3053280.00,2758.00
2016,HAMDEN,25212,76948767.00,3052.00
2016,HADDAM,3956,17227416.00,4355.00
2016,GUILFORD,10122,67608847.00,6679.00
2016,GROTON,11525,25903860.00,2248.00
2016,GRISWOLD,5492,11202322.00,2040.00
2016,GREENWICH,27333,554374149.00,20282.00
2016,GRANBY,5003,25357702.00,5068.00
2016,GOSHEN,1339,6631283.00,4952.00
2016,GLASTONBURY,15851,112422443.00,7092.00
2016,FRANKLIN,899,2740373.00,3048.00
2016,FARMINGTON,12096,76935508.00,6360.00
2016,FAIRFIELD,24521,210571456.00,8587.00
2016,ESSEX,3202,20666271.00,6454.00
2016,ENFIELD,19700,41202453.00,2091.00
2016,ELLINGTON,7538,33298582.00,4417.00
2016,EAST WINDSOR ,5597,13875142.00,2479.00
2016,EASTON ,3245,31991827.00,9859.00
2016,EAST LYME ,8469,35634083.00,4208.00
2016,EAST HAVEN ,13453,30922610.00,2299.00
2016,EAST HARTFORD ,24275,35934826.00,1480.00
2016,EAST HAMPTON ,6139,23137252.00,3769.00
2016,EAST HADDAM ,3901,13811346.00,3540.00
2016,EAST GRANBY ,2482,10047295.00,4048.00
2016,EASTFORD ,682,1866401.00,2737.00
2016,DURHAM,3468,20680305.00,5963.00
2016,DERBY,5853,11677813.00,1995.00
2016,DEEP RIVER,2182,10532601.00,4827.00
2016,DARIEN,8366,158273075.00,18919.00
2016,DANBURY,36562,71479696.00,1955.00
2016,CROMWELL,7005,30411795.00,4341.00
2016,COVENTRY,5860,19839776.00,3386.00
2016,CORNWALL,741,2565009.00,3462.00
2016,COLUMBIA,2602,9435636.00,3626.00
2016,COLEBROOK,575,1823173.00,3171.00
2016,COLCHESTER,7564,26907189.00,3557.00
2016,CLINTON,6343,22095898.00,3484.00
2016,CHESTER,1879,7958072.00,4235.00
2016,CHESHIRE,12393,67387530.00,5438.00
2016,CHAPLIN,1037,2352237.00,2268.00
2016,CANTON,4680,25759516.00,5504.00
2016,CANTERBURY,2326,5485537.00,2358.00
2016,CANAAN,1733,3384118.00,1953.00
2016,BURLINGTON,4285,23265298.00,5429.00
2016,BROOKLYN,3459,7949640.00,2298.00
2016,BROOKFIELD,8133,33892504.00,4167.00
2016,BRISTOL,28599,64236830.00,2246.00
2016,BRIDGEWATER,812,6126378.00,7545.00
2016,BRIDGEPORT,59738,61465266.00,1029.00
2016,BRANFORD,14392,59880479.00,4161.00
2016,BOZRAH,1211,3708101.00,3062.00
2016,BOLTON,2384,10382142.00,4355.00
2016,BLOOMFIELD,10804,37048237.00,3429.00
2016,BETHLEHEM,1687,5960149.00,3533.00
2016,BETHEL,8750,27308692.00,3121.00
2016,BETHANY,2455,14521773.00,5915.00
2016,BERLIN,10086,39038292.00,3871.00
2016,BEACON FALLS,2876,8617547.00,2996.00
2016,BARKHAMSTED,1816,5787917.00,3187.00
2016,AVON,8455,84101775.00,9947.00
2016,ASHFORD,2105,5450457.00,2589.00
2016,ANSONIA,8659,15009944.00,1733.00
2016,ANDOVER,1522,5276011.00,3466.00
2015,ANDOVER,1498,5404333.00,3608.00
2015,ANSONIA,8619,15276355.00,1772.00
2015,ASHFORD,2112,5497095.00,2603.00
