Date,Open,High,Low,Close,Adj Close,Volume
31/12/2014,32.09,33.27,31.049999,33,26.864,97511344
31/01/2015,33,35.869999,33,35.34,28.768904,112495951
28/02/2015,35.360001,37.189999,34.900002,36.639999,29.827183,105911263
31/03/2015,36.32,37.25,33.82,33.990002,27.669922,97377027
30/04/2015,33.860001,34.630001,31.700001,33.189999,27.018671,163979833
31/05/2015,32.98,33.860001,30.889999,32.200001,26.913933,124099383
30/06/2015,32.349998,33.16,31.66,32.68,27.315136,125300036
31/07/2015,32.740002,33.029999,26.41,27.93,23.344912,217657608
31/08/2015,27.700001,28.6,26.379999,27.08,22.634453,186205150
30/09/2015,27.25,29.17,26.9,27.209999,22.743109,154312927
31/10/2015,27.16,28,25.01,27.15,22.692959,175732472
30/11/2015,27.059999,28.030001,25.33,27.93,24.207855,139196064
31/12/2015,27.93,27.93,23.08,24.18,20.957607,150288840
31/01/2016,24.48,24.790001,21.860001,22.4,19.41482,176204773
29/02/2016,22.42,26.35,22.360001,23.459999,20.333559,180736138
31/03/2016,23.139999,24.75,22.059999,24.27,21.035612,142637123
30/04/2016,24.02,25.99,22.780001,25.48,22.084358,198446414
31/05/2016,25.120001,25.33,22.709999,24.120001,21.592722,164684524
30/06/2016,24.26,25.9,22.66,25.84,23.1325,136319998
31/07/2016,25.84,27.25,25.120001,26.9,24.081434,138465195
31/08/2016,26.74,27.85,25.75,27.629999,24.734943,146469462
30/09/2016,27.709999,28.59,27.32,27.85,24.931894,116433195
31/10/2016,27.76,28.459999,25.780001,28.41,25.433216,164645477
30/11/2016,28.48,30.889999,28.01,30.42,28.024834,120488420
31/12/2016,30.42,31.84,29.08,29.290001,26.983807,112466002
31/01/2017,29.299999,31.35,28.615,30.9,28.467039,116715371
28/02/2017,30.799999,32.439999,30.65,31.82,29.314602,126074500
31/03/2017,31.719999,32.84,31.16,32.759998,30.180588,86544685
30/04/2017,32.75,32.950001,27.52,28.01,25.804588,195106751
31/05/2017,28.01,29.055,27.184999,28.719999,27.167795,154834945
30/06/2017,28.709999,30.43,28.219999,29.629999,28.028612,118401469
31/07/2017,29.629999,30.52,28.91,29.4,27.811043,106777855
31/08/2017,29.6,30.379999,28.67,29.6,28.000235,95626217
30/09/2017,29.74,30.799999,29.049999,29.92,28.302938,92855439
31/10/2017,30.09,30.4,28.27,28.459999,26.921844,125282301
30/11/2017,28.620001,29.15,27.93,28.74,27.923231,99344358
31/12/2017,28.74,29.1,28.25,28.58,27.767778,85592301
31/01/2018,28.66,29.219999,27.4,29.049999,28.224422,101299524
28/02/2018,28.889999,28.93,26.809999,26.860001,26.096661,122432331
31/03/2018,26.860001,27.27,26.110001,26.84,26.077229,109931857
30/04/2018,27.200001,28.389999,26.76,27.209999,26.436712,128497621
31/05/2018,26.82,28.940001,26.075001,28.24,28.24,123411794
30/06/2018,28.35,29.49,27.799999,29.299999,29.299999,105179213
31/07/2018,29.299999,30.389999,28.07,29.5,29.5,121523240
31/08/2018,29.530001,29.530001,27.605,28.18,28.18,86073060
30/09/2018,27.799999,28.02,27.34,27.610001,27.610001,15199333
